date,index
2022/6/1,2320.00 
2022/5/1,2566.00 
2022/4/1,2404.00 
2022/3/1,2358.00 
2022/2/1,2040.00 
2022/1/1,1418.00 
2021/12/1,2217.00 
2021/11/1,3018.00 
2021/10/1,3519.00 
2021/9/1,5167.00 
2021/8/1,4132.00 
2021/7/1,3292.00 
2021/6/1,3383.00 
2021/5/1,2596.00 
2021/4/1,3053.00 
2021/3/1,2046.00 
2021/2/1,1675.00 
2021/1/1,1452.00 
2020/12/1,1366.00 
2020/11/1,1227.00 
2020/10/1,1283.00 
2020/9/1,1725.00 
2020/8/1,1488.00 
2020/7/1,1350.00 
2020/6/1,1799.00 
2020/5/1,504.00 
2020/4/1,635.00 
2020/3/1,626.00 
2020/2/1,535.00 
2020/1/1,487.00 
